# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 27K of event 'cpu/cycles/P'
# Event count (approx.): 25145527819
#
# Overhead  Command  Shared Object         Symbol                          
# ........  .......  ....................  ................................
#
     0.01%  app      [unknown]             [k] 0xffffffff83c2c68a
     0.00%  app      [unknown]             [k] 0xffffffff83beb808
     0.00%  app      [unknown]             [k] 0xffffffff83bfce87
     0.00%  app      [unknown]             [k] 0xffffffff83becad7
     0.00%  app      [unknown]             [k] 0xffffffff83bfcc47
     0.00%  app      [unknown]             [k] 0xffffffff83c34087
     0.00%  app      [unknown]             [k] 0xffffffff83b992a6
     0.00%  app      [unknown]             [k] 0xffffffff83c3952d
     0.00%  app      [unknown]             [k] 0xffffffff83c7b0e6
     0.00%  app      [unknown]             [k] 0xffffffff83c34945
     0.00%  app      [unknown]             [k] 0xffffffff83bfe6e6
     0.00%  app      [unknown]             [k] 0xffffffff83c152a6
     0.00%  app      [unknown]             [k] 0xffffffff84053896
     0.00%  app      [unknown]             [k] 0xffffffff83c3496b
     0.00%  app      [unknown]             [k] 0xffffffff83c11f4e
     0.00%  app      [unknown]             [k] 0xffffffff83bc5d5d
     0.00%  app      [unknown]             [k] 0xffffffff83bfe09c
     0.00%  app      [unknown]             [k] 0xffffffff83cbd7ef
     0.00%  app      [unknown]             [k] 0xffffffff84b3497e
     0.00%  app      [unknown]             [k] 0xffffffff83cbbe92
     0.00%  app      [unknown]             [k] 0xffffffff83bfe145
     0.00%  app      [unknown]             [k] 0xffffffff83901b8a
     0.00%  app      [unknown]             [k] 0xffffffff83c32949
     0.00%  app      [unknown]             [k] 0xffffffff83bfdebe
     0.00%  app      [unknown]             [k] 0xffffffff83bc37e7
     0.00%  app      [unknown]             [k] 0xffffffff83bfe089
     0.00%  app      [unknown]             [k] 0xffffffff83c7b0fd
     0.00%  app      [unknown]             [k] 0xffffffff83b986b4
     0.00%  app      [unknown]             [k] 0xffffffff83bed55d
     0.00%  app      [unknown]             [k] 0xffffffff83c11f61
     0.00%  app      [unknown]             [k] 0xffffffff83c7aecc
     0.00%  app      app                   [.] grow_dyn_array
     0.00%  app      [unknown]             [k] 0xffffffff83b98609
     0.00%  app      [unknown]             [k] 0xffffffff83c11c29
     0.00%  app      [unknown]             [k] 0xffffffff83bf0776
     0.00%  app      [unknown]             [k] 0xffffffff8395f67d
     0.00%  app      [unknown]             [k] 0xffffffff83944e25
     0.00%  app      [unknown]             [k] 0xffffffff83bfddfe
     0.00%  app      [unknown]             [k] 0xffffffff83c0be1e
     0.00%  app      [unknown]             [k] 0xffffffff834015f7
     0.00%  app      [unknown]             [k] 0xffffffff83c328f1
     0.00%  app      [unknown]             [k] 0xffffffff839bd8a0
     0.00%  app      [unknown]             [k] 0xffffffff83c11e44
     0.00%  app      [unknown]             [k] 0xffffffff83bed1f6
     0.00%  app      [unknown]             [k] 0xffffffff83bfcbbb
     0.00%  app      [unknown]             [k] 0xffffffff83400b90
     0.00%  app      [unknown]             [k] 0xffffffff83b98630
     0.00%  app      [unknown]             [k] 0xffffffff83cb7329
     0.00%  app      [unknown]             [k] 0xffffffff839bd8e8
